"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𐾰 ","10FB0","CHORASMIAN LETTER ALEPH","Chorasmian Script",NA,"Yes","Chorasmian","Other_Letter","Other","Chorasmian",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",69552
" 𐾱 ","10FB1","CHORASMIAN LETTER SMALL ALEPH","Chorasmian Script",NA,"Yes","Chorasmian","Other_Letter","Other","Chorasmian",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",69553
" 𐾲 ","10FB2","CHORASMIAN LETTER BETH","Chorasmian Script",NA,"Yes","Chorasmian","Other_Letter","Other","Chorasmian",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",69554
" 𐾳 ","10FB3","CHORASMIAN LETTER GIMEL","Chorasmian Script",NA,"Yes","Chorasmian","Other_Letter","Other","Chorasmian",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",69555
" 𐾴 ","10FB4","CHORASMIAN LETTER DALETH","Chorasmian Script",NA,"Yes","Chorasmian","Other_Letter","Other","Chorasmian",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",69556
" 𐾵 ","10FB5","CHORASMIAN LETTER HE","Chorasmian Script",NA,"Yes","Chorasmian","Other_Letter","Other","Chorasmian",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",69557
" 𐾶 ","10FB6","CHORASMIAN LETTER WAW","Chorasmian Script",NA,"Yes","Chorasmian","Other_Letter","Other","Chorasmian",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",69558
" 𐾷 ","10FB7","CHORASMIAN LETTER CURLED WAW","Chorasmian Script",NA,"Yes","Chorasmian","Other_Letter","Other","Chorasmian",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",69559
" 𐾸 ","10FB8","CHORASMIAN LETTER ZAYIN","Chorasmian Script",NA,"Yes","Chorasmian","Other_Letter","Other","Chorasmian",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",69560
" 𐾹 ","10FB9","CHORASMIAN LETTER HETH","Chorasmian Script",NA,"Yes","Chorasmian","Other_Letter","Other","Chorasmian",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",69561
" 𐾺 ","10FBA","CHORASMIAN LETTER YODH","Chorasmian Script",NA,"Yes","Chorasmian","Other_Letter","Other","Chorasmian",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",69562
