"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𖄀 ","16100","GURUNG KHEMA LETTER A","Gurung Khema Script",NA,"Yes","Gurung_Khema","Other_Letter","Vowel_Independent","Gurung_Khema",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",90368
" 𖄁 ","16101","GURUNG KHEMA LETTER KA","Gurung Khema Script",NA,"Yes","Gurung_Khema","Other_Letter","Consonant","Gurung_Khema",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",90369
" 𖄂 ","16102","GURUNG KHEMA LETTER KHA","Gurung Khema Script",NA,"Yes","Gurung_Khema","Other_Letter","Consonant","Gurung_Khema",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",90370
" 𖄃 ","16103","GURUNG KHEMA LETTER GA","Gurung Khema Script",NA,"Yes","Gurung_Khema","Other_Letter","Consonant","Gurung_Khema",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",90371
" 𖄄 ","16104","GURUNG KHEMA LETTER GHA","Gurung Khema Script",NA,"Yes","Gurung_Khema","Other_Letter","Consonant","Gurung_Khema",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",90372
" 𖄅 ","16105","GURUNG KHEMA LETTER NGA","Gurung Khema Script",NA,"Yes","Gurung_Khema","Other_Letter","Consonant","Gurung_Khema",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",90373
" 𖄆 ","16106","GURUNG KHEMA LETTER CA","Gurung Khema Script",NA,"Yes","Gurung_Khema","Other_Letter","Consonant","Gurung_Khema",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",90374
" 𖄇 ","16107","GURUNG KHEMA LETTER CHA","Gurung Khema Script",NA,"Yes","Gurung_Khema","Other_Letter","Consonant","Gurung_Khema",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",90375
" 𖄈 ","16108","GURUNG KHEMA LETTER JA","Gurung Khema Script",NA,"Yes","Gurung_Khema","Other_Letter","Consonant","Gurung_Khema",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",90376
" 𖄉 ","16109","GURUNG KHEMA LETTER JHA","Gurung Khema Script",NA,"Yes","Gurung_Khema","Other_Letter","Consonant","Gurung_Khema",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",90377
" 𖄊 ","1610A","GURUNG KHEMA LETTER HA","Gurung Khema Script",NA,"Yes","Gurung_Khema","Other_Letter","Consonant","Gurung_Khema",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",90378
" 𖄋 ","1610B","GURUNG KHEMA LETTER TTA","Gurung Khema Script",NA,"Yes","Gurung_Khema","Other_Letter","Consonant","Gurung_Khema",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",90379
" 𖄌 ","1610C","GURUNG KHEMA LETTER TTHA","Gurung Khema Script",NA,"Yes","Gurung_Khema","Other_Letter","Consonant","Gurung_Khema",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",90380
" 𖄍 ","1610D","GURUNG KHEMA LETTER DDA","Gurung Khema Script",NA,"Yes","Gurung_Khema","Other_Letter","Consonant","Gurung_Khema",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",90381
" 𖄎 ","1610E","GURUNG KHEMA LETTER DDHA","Gurung Khema Script",NA,"Yes","Gurung_Khema","Other_Letter","Consonant","Gurung_Khema",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",90382
" 𖄏 ","1610F","GURUNG KHEMA LETTER VA","Gurung Khema Script",NA,"Yes","Gurung_Khema","Other_Letter","Consonant","Gurung_Khema",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",90383
" 𖄐 ","16110","GURUNG KHEMA LETTER TA","Gurung Khema Script",NA,"Yes","Gurung_Khema","Other_Letter","Consonant","Gurung_Khema",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",90384
