"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𖺠 ","16EA0","BERIA ERFE CAPITAL LETTER ARKAB","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93856
" 𖺡 ","16EA1","BERIA ERFE CAPITAL LETTER BASIGNA","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93857
" 𖺢 ","16EA2","BERIA ERFE CAPITAL LETTER DARBAI","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93858
" 𖺣 ","16EA3","BERIA ERFE CAPITAL LETTER EH","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93859
" 𖺤 ","16EA4","BERIA ERFE CAPITAL LETTER FITKO","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93860
" 𖺥 ","16EA5","BERIA ERFE CAPITAL LETTER GOWAY","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93861
" 𖺦 ","16EA6","BERIA ERFE CAPITAL LETTER HIRDEABO","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93862
" 𖺧 ","16EA7","BERIA ERFE CAPITAL LETTER I","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93863
" 𖺨 ","16EA8","BERIA ERFE CAPITAL LETTER DJAI","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93864
" 𖺩 ","16EA9","BERIA ERFE CAPITAL LETTER KOBO","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93865
" 𖺪 ","16EAA","BERIA ERFE CAPITAL LETTER LAKKO","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93866
" 𖺫 ","16EAB","BERIA ERFE CAPITAL LETTER MERI","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93867
" 𖺬 ","16EAC","BERIA ERFE CAPITAL LETTER NINI","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93868
" 𖺭 ","16EAD","BERIA ERFE CAPITAL LETTER GNA","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93869
" 𖺮 ","16EAE","BERIA ERFE CAPITAL LETTER NGAY","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93870
" 𖺯 ","16EAF","BERIA ERFE CAPITAL LETTER OI","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93871
" 𖺰 ","16EB0","BERIA ERFE CAPITAL LETTER PI","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93872
" 𖺱 ","16EB1","BERIA ERFE CAPITAL LETTER ERIGO","Beria Erfe Script",NA,"Yes","Beria_Erfe","Uppercase_Letter","Other","Beria_Erfe",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",93873
