"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𘬀 ","18B00","KHITAN SMALL SCRIPT CHARACTER-18B00","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101120
" 𘬁 ","18B01","KHITAN SMALL SCRIPT CHARACTER-18B01","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101121
" 𘬂 ","18B02","KHITAN SMALL SCRIPT CHARACTER-18B02","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101122
" 𘬃 ","18B03","KHITAN SMALL SCRIPT CHARACTER-18B03","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101123
" 𘬄 ","18B04","KHITAN SMALL SCRIPT CHARACTER-18B04","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101124
" 𘬅 ","18B05","KHITAN SMALL SCRIPT CHARACTER-18B05","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101125
" 𘬆 ","18B06","KHITAN SMALL SCRIPT CHARACTER-18B06","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101126
" 𘬇 ","18B07","KHITAN SMALL SCRIPT CHARACTER-18B07","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101127
" 𘬈 ","18B08","KHITAN SMALL SCRIPT CHARACTER-18B08","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101128
" 𘬉 ","18B09","KHITAN SMALL SCRIPT CHARACTER-18B09","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101129
" 𘬊 ","18B0A","KHITAN SMALL SCRIPT CHARACTER-18B0A","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101130
" 𘬋 ","18B0B","KHITAN SMALL SCRIPT CHARACTER-18B0B","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101131
" 𘬌 ","18B0C","KHITAN SMALL SCRIPT CHARACTER-18B0C","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101132
" 𘬍 ","18B0D","KHITAN SMALL SCRIPT CHARACTER-18B0D","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101133
" 𘬎 ","18B0E","KHITAN SMALL SCRIPT CHARACTER-18B0E","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101134
" 𘬏 ","18B0F","KHITAN SMALL SCRIPT CHARACTER-18B0F","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101135
" 𘬐 ","18B10","KHITAN SMALL SCRIPT CHARACTER-18B10","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101136
" 𘬑 ","18B11","KHITAN SMALL SCRIPT CHARACTER-18B11","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101137
" 𘬒 ","18B12","KHITAN SMALL SCRIPT CHARACTER-18B12","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101138
" 𘬓 ","18B13","KHITAN SMALL SCRIPT CHARACTER-18B13","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101139
" 𘬔 ","18B14","KHITAN SMALL SCRIPT CHARACTER-18B14","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101140
" 𘬕 ","18B15","KHITAN SMALL SCRIPT CHARACTER-18B15","Khitan Small Script Script",NA,"Yes","Khitan_Small_Script","Other_Letter","Other","Khitan_Small_Script",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101141
