"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𘶀 ","18D80","TANGUT COMPONENT-769","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101760
" 𘶁 ","18D81","TANGUT COMPONENT-770","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101761
" 𘶂 ","18D82","TANGUT COMPONENT-771","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101762
" 𘶃 ","18D83","TANGUT COMPONENT-772","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101763
" 𘶄 ","18D84","TANGUT COMPONENT-773","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101764
" 𘶅 ","18D85","TANGUT COMPONENT-774","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101765
" 𘶆 ","18D86","TANGUT COMPONENT-775","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101766
" 𘶇 ","18D87","TANGUT COMPONENT-776","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101767
" 𘶈 ","18D88","TANGUT COMPONENT-777","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101768
" 𘶉 ","18D89","TANGUT COMPONENT-778","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101769
" 𘶊 ","18D8A","TANGUT COMPONENT-779","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101770
" 𘶋 ","18D8B","TANGUT COMPONENT-780","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101771
" 𘶌 ","18D8C","TANGUT COMPONENT-781","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101772
" 𘶍 ","18D8D","TANGUT COMPONENT-782","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101773
" 𘶎 ","18D8E","TANGUT COMPONENT-783","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101774
" 𘶏 ","18D8F","TANGUT COMPONENT-784","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101775
" 𘶐 ","18D90","TANGUT COMPONENT-785","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101776
" 𘶑 ","18D91","TANGUT COMPONENT-786","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101777
" 𘶒 ","18D92","TANGUT COMPONENT-787","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101778
" 𘶓 ","18D93","TANGUT COMPONENT-788","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101779
" 𘶔 ","18D94","TANGUT COMPONENT-789","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101780
" 𘶕 ","18D95","TANGUT COMPONENT-790","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101781
" 𘶖 ","18D96","TANGUT COMPONENT-791","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101782
" 𘶗 ","18D97","TANGUT COMPONENT-792","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101783
" 𘶘 ","18D98","TANGUT COMPONENT-793","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101784
" 𘶙 ","18D99","TANGUT COMPONENT-794","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101785
" 𘶚 ","18D9A","TANGUT COMPONENT-795","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101786
" 𘶛 ","18D9B","TANGUT COMPONENT-796","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101787
" 𘶜 ","18D9C","TANGUT COMPONENT-797","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101788
" 𘶝 ","18D9D","TANGUT COMPONENT-798","Tangut Script",NA,"Yes","Tangut_Components_Supplement","Other_Letter","Other","Tangut",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","Yes","No","No","No","No","No","No",101789
