"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𚿰 ","1AFF0","KATAKANA LETTER MINNAN TONE-2","Katakana Script",NA,"Yes","Kana_Extended_B","Modifier_Letter","Other","Katakana",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",110576
" 𚿱 ","1AFF1","KATAKANA LETTER MINNAN TONE-3","Katakana Script",NA,"Yes","Kana_Extended_B","Modifier_Letter","Other","Katakana",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",110577
" 𚿲 ","1AFF2","KATAKANA LETTER MINNAN TONE-4","Katakana Script",NA,"Yes","Kana_Extended_B","Modifier_Letter","Other","Katakana",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",110578
" 𚿳 ","1AFF3","KATAKANA LETTER MINNAN TONE-5","Katakana Script",NA,"Yes","Kana_Extended_B","Modifier_Letter","Other","Katakana",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",110579
" 𚿴 ","1AFF4","Unknown","Unknown Script",NA,"No","Kana_Extended_B","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",110580
" 𚿵 ","1AFF5","KATAKANA LETTER MINNAN TONE-7","Katakana Script",NA,"Yes","Kana_Extended_B","Modifier_Letter","Other","Katakana",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",110581
" 𚿶 ","1AFF6","KATAKANA LETTER MINNAN TONE-8","Katakana Script",NA,"Yes","Kana_Extended_B","Modifier_Letter","Other","Katakana",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",110582
" 𚿷 ","1AFF7","KATAKANA LETTER MINNAN NASALIZED TONE-1","Katakana Script",NA,"Yes","Kana_Extended_B","Modifier_Letter","Other","Katakana",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",110583
" 𚿸 ","1AFF8","KATAKANA LETTER MINNAN NASALIZED TONE-2","Katakana Script",NA,"Yes","Kana_Extended_B","Modifier_Letter","Other","Katakana",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",110584
" 𚿹 ","1AFF9","KATAKANA LETTER MINNAN NASALIZED TONE-3","Katakana Script",NA,"Yes","Kana_Extended_B","Modifier_Letter","Other","Katakana",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",110585
" 𚿺 ","1AFFA","KATAKANA LETTER MINNAN NASALIZED TONE-4","Katakana Script",NA,"Yes","Kana_Extended_B","Modifier_Letter","Other","Katakana",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",110586
" 𚿻 ","1AFFB","KATAKANA LETTER MINNAN NASALIZED TONE-5","Katakana Script",NA,"Yes","Kana_Extended_B","Modifier_Letter","Other","Katakana",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",110587
" 𚿼 ","1AFFC","Unknown","Unknown Script",NA,"No","Kana_Extended_B","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",110588
" 𚿽 ","1AFFD","KATAKANA LETTER MINNAN NASALIZED TONE-7","Katakana Script",NA,"Yes","Kana_Extended_B","Modifier_Letter","Other","Katakana",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",110589
" 𚿾 ","1AFFE","KATAKANA LETTER MINNAN NASALIZED TONE-8","Katakana Script",NA,"Yes","Kana_Extended_B","Modifier_Letter","Other","Katakana",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",110590
" 𚿿 ","1AFFF","Unknown","Unknown Script",NA,"No","Kana_Extended_B","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",110591
