"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𛀀 ","1B000","KATAKANA LETTER ARCHAIC E","Katakana Script","Yes","Yes","Kana_Supplement","Other_Letter","Other","Katakana","Katakana","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",110592
" 𛀁 ","1B001","HIRAGANA LETTER ARCHAIC YE","Hiragana Script","Yes","Yes","Kana_Supplement","Other_Letter","Other","Hiragana","Hiragana","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",110593
" 𛀂 ","1B002","HENTAIGANA LETTER A-1","Hiragana Script","Yes","Yes","Kana_Supplement","Other_Letter","Other","Hiragana","Hiragana","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",110594
" 𛀃 ","1B003","HENTAIGANA LETTER A-2","Hiragana Script","Yes","Yes","Kana_Supplement","Other_Letter","Other","Hiragana","Hiragana","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",110595
" 𛀄 ","1B004","HENTAIGANA LETTER A-3","Hiragana Script","Yes","Yes","Kana_Supplement","Other_Letter","Other","Hiragana","Hiragana","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",110596
" 𛀅 ","1B005","HENTAIGANA LETTER A-WO","Hiragana Script","Yes","Yes","Kana_Supplement","Other_Letter","Other","Hiragana","Hiragana","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",110597
" 𛀆 ","1B006","HENTAIGANA LETTER I-1","Hiragana Script","Yes","Yes","Kana_Supplement","Other_Letter","Other","Hiragana","Hiragana","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",110598
" 𛀇 ","1B007","HENTAIGANA LETTER I-2","Hiragana Script","Yes","Yes","Kana_Supplement","Other_Letter","Other","Hiragana","Hiragana","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",110599
" 𛀈 ","1B008","HENTAIGANA LETTER I-3","Hiragana Script","Yes","Yes","Kana_Supplement","Other_Letter","Other","Hiragana","Hiragana","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",110600
" 𛀉 ","1B009","HENTAIGANA LETTER I-4","Hiragana Script","Yes","Yes","Kana_Supplement","Other_Letter","Other","Hiragana","Hiragana","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",110601
" 𛀊 ","1B00A","HENTAIGANA LETTER U-1","Hiragana Script","Yes","Yes","Kana_Supplement","Other_Letter","Other","Hiragana","Hiragana","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",110602
" 𛀋 ","1B00B","HENTAIGANA LETTER U-2","Hiragana Script","Yes","Yes","Kana_Supplement","Other_Letter","Other","Hiragana","Hiragana","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",110603
" 𛀌 ","1B00C","HENTAIGANA LETTER U-3","Hiragana Script","Yes","Yes","Kana_Supplement","Other_Letter","Other","Hiragana","Hiragana","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",110604
" 𛀍 ","1B00D","HENTAIGANA LETTER U-4","Hiragana Script","Yes","Yes","Kana_Supplement","Other_Letter","Other","Hiragana","Hiragana","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",110605
