"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𛰀 ","1BC00","DUPLOYAN LETTER H","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113664
" 𛰁 ","1BC01","DUPLOYAN LETTER X","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113665
" 𛰂 ","1BC02","DUPLOYAN LETTER P","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113666
" 𛰃 ","1BC03","DUPLOYAN LETTER T","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113667
" 𛰄 ","1BC04","DUPLOYAN LETTER F","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113668
" 𛰅 ","1BC05","DUPLOYAN LETTER K","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113669
" 𛰆 ","1BC06","DUPLOYAN LETTER L","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113670
" 𛰇 ","1BC07","DUPLOYAN LETTER B","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113671
" 𛰈 ","1BC08","DUPLOYAN LETTER D","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113672
" 𛰉 ","1BC09","DUPLOYAN LETTER V","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113673
" 𛰊 ","1BC0A","DUPLOYAN LETTER G","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113674
" 𛰋 ","1BC0B","DUPLOYAN LETTER R","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113675
" 𛰌 ","1BC0C","DUPLOYAN LETTER P N","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113676
" 𛰍 ","1BC0D","DUPLOYAN LETTER D S","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113677
" 𛰎 ","1BC0E","DUPLOYAN LETTER F N","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113678
" 𛰏 ","1BC0F","DUPLOYAN LETTER K M","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113679
" 𛰐 ","1BC10","DUPLOYAN LETTER R S","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113680
" 𛰑 ","1BC11","DUPLOYAN LETTER TH","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113681
" 𛰒 ","1BC12","DUPLOYAN LETTER SLOAN DH","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113682
" 𛰓 ","1BC13","DUPLOYAN LETTER DH","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113683
" 𛰔 ","1BC14","DUPLOYAN LETTER KK","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113684
" 𛰕 ","1BC15","DUPLOYAN LETTER SLOAN J","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113685
" 𛰖 ","1BC16","DUPLOYAN LETTER HL","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113686
" 𛰗 ","1BC17","DUPLOYAN LETTER LH","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113687
" 𛰘 ","1BC18","DUPLOYAN LETTER RH","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113688
" 𛰙 ","1BC19","DUPLOYAN LETTER M","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113689
" 𛰚 ","1BC1A","DUPLOYAN LETTER N","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113690
" 𛰛 ","1BC1B","DUPLOYAN LETTER J","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113691
" 𛰜 ","1BC1C","DUPLOYAN LETTER S","Duployan Script","Yes","Yes","Duployan","Other_Letter","Other","Duployan","Duployan","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",113692
