"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𜻀 ","1CEC0","HEBE","Other Symbol",NA,"No","Miscellaneous_Symbols_Supplement","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118464
" 𜻁 ","1CEC1","IRIS","Other Symbol",NA,"No","Miscellaneous_Symbols_Supplement","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118465
" 𜻂 ","1CEC2","FLORA","Other Symbol",NA,"No","Miscellaneous_Symbols_Supplement","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118466
" 𜻃 ","1CEC3","METIS","Other Symbol",NA,"No","Miscellaneous_Symbols_Supplement","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118467
" 𜻄 ","1CEC4","PARTHENOPE","Other Symbol",NA,"No","Miscellaneous_Symbols_Supplement","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118468
" 𜻅 ","1CEC5","VICTORIA","Other Symbol",NA,"No","Miscellaneous_Symbols_Supplement","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118469
" 𜻆 ","1CEC6","EGERIA","Other Symbol",NA,"No","Miscellaneous_Symbols_Supplement","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118470
" 𜻇 ","1CEC7","IRENE","Other Symbol",NA,"No","Miscellaneous_Symbols_Supplement","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118471
" 𜻈 ","1CEC8","EUNOMIA","Other Symbol",NA,"No","Miscellaneous_Symbols_Supplement","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118472
" 𜻉 ","1CEC9","PSYCHE","Other Symbol",NA,"No","Miscellaneous_Symbols_Supplement","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118473
" 𜻊 ","1CECA","THETIS","Other Symbol",NA,"No","Miscellaneous_Symbols_Supplement","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118474
" 𜻋 ","1CECB","MELPOMENE","Other Symbol",NA,"No","Miscellaneous_Symbols_Supplement","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118475
" 𜻌 ","1CECC","FORTUNA","Other Symbol",NA,"No","Miscellaneous_Symbols_Supplement","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118476
" 𜻍 ","1CECD","ASTRONOMICAL SYMBOL FOR ASTEROID PROSERPINA","Other Symbol",NA,"No","Miscellaneous_Symbols_Supplement","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118477
" 𜻎 ","1CECE","BELLONA","Other Symbol",NA,"No","Miscellaneous_Symbols_Supplement","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118478
" 𜻏 ","1CECF","AMPHITRITE","Other Symbol",NA,"No","Miscellaneous_Symbols_Supplement","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118479
" 𜻐 ","1CED0","LEUKOTHEA","Other Symbol",NA,"No","Miscellaneous_Symbols_Supplement","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118480
