"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𜼀 ","1CF00","ZNAMENNY COMBINING MARK GORAZDO NIZKO S KRYZHEM ON LEFT","Nonspacing Mark",NA,"No","Znamenny_Musical_Notation","Nonspacing_Mark","Other","Inherited",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118528
" 𜼁 ","1CF01","ZNAMENNY COMBINING MARK NIZKO S KRYZHEM ON LEFT","Nonspacing Mark",NA,"No","Znamenny_Musical_Notation","Nonspacing_Mark","Other","Inherited",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118529
" 𜼂 ","1CF02","ZNAMENNY COMBINING MARK TSATA ON LEFT","Nonspacing Mark",NA,"No","Znamenny_Musical_Notation","Nonspacing_Mark","Other","Inherited",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118530
" 𜼃 ","1CF03","ZNAMENNY COMBINING MARK GORAZDO NIZKO ON LEFT","Nonspacing Mark",NA,"No","Znamenny_Musical_Notation","Nonspacing_Mark","Other","Inherited",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118531
" 𜼄 ","1CF04","ZNAMENNY COMBINING MARK NIZKO ON LEFT","Nonspacing Mark",NA,"No","Znamenny_Musical_Notation","Nonspacing_Mark","Other","Inherited",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118532
" 𜼅 ","1CF05","ZNAMENNY COMBINING MARK SREDNE ON LEFT","Nonspacing Mark",NA,"No","Znamenny_Musical_Notation","Nonspacing_Mark","Other","Inherited",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118533
" 𜼆 ","1CF06","ZNAMENNY COMBINING MARK MALO POVYSHE ON LEFT","Nonspacing Mark",NA,"No","Znamenny_Musical_Notation","Nonspacing_Mark","Other","Inherited",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118534
" 𜼇 ","1CF07","ZNAMENNY COMBINING MARK POVYSHE ON LEFT","Nonspacing Mark",NA,"No","Znamenny_Musical_Notation","Nonspacing_Mark","Other","Inherited",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118535
" 𜼈 ","1CF08","ZNAMENNY COMBINING MARK VYSOKO ON LEFT","Nonspacing Mark",NA,"No","Znamenny_Musical_Notation","Nonspacing_Mark","Other","Inherited",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118536
" 𜼉 ","1CF09","ZNAMENNY COMBINING MARK MALO POVYSHE S KHOKHLOM ON LEFT","Nonspacing Mark",NA,"No","Znamenny_Musical_Notation","Nonspacing_Mark","Other","Inherited",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118537
" 𜼊 ","1CF0A","ZNAMENNY COMBINING MARK POVYSHE S KHOKHLOM ON LEFT","Nonspacing Mark",NA,"No","Znamenny_Musical_Notation","Nonspacing_Mark","Other","Inherited",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118538
" 𜼋 ","1CF0B","ZNAMENNY COMBINING MARK VYSOKO S KHOKHLOM ON LEFT","Nonspacing Mark",NA,"No","Znamenny_Musical_Notation","Nonspacing_Mark","Other","Inherited",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118539
" 𜼌 ","1CF0C","ZNAMENNY COMBINING MARK GORAZDO NIZKO S KRYZHEM ON RIGHT","Nonspacing Mark",NA,"No","Znamenny_Musical_Notation","Nonspacing_Mark","Other","Inherited",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118540
" 𜼍 ","1CF0D","ZNAMENNY COMBINING MARK NIZKO S KRYZHEM ON RIGHT","Nonspacing Mark",NA,"No","Znamenny_Musical_Notation","Nonspacing_Mark","Other","Inherited",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118541
" 𜼎 ","1CF0E","ZNAMENNY COMBINING MARK TSATA ON RIGHT","Nonspacing Mark",NA,"No","Znamenny_Musical_Notation","Nonspacing_Mark","Other","Inherited",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118542
" 𜼏 ","1CF0F","ZNAMENNY COMBINING MARK GORAZDO NIZKO ON RIGHT","Nonspacing Mark",NA,"No","Znamenny_Musical_Notation","Nonspacing_Mark","Other","Inherited",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118543
" 𜼐 ","1CF10","ZNAMENNY COMBINING MARK NIZKO ON RIGHT","Nonspacing Mark",NA,"No","Znamenny_Musical_Notation","Nonspacing_Mark","Other","Inherited",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",118544
