"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𝋀 ","1D2C0","KAKTOVIK NUMERAL ZERO","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119488
" 𝋁 ","1D2C1","KAKTOVIK NUMERAL ONE","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119489
" 𝋂 ","1D2C2","KAKTOVIK NUMERAL TWO","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119490
" 𝋃 ","1D2C3","KAKTOVIK NUMERAL THREE","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119491
" 𝋄 ","1D2C4","KAKTOVIK NUMERAL FOUR","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119492
" 𝋅 ","1D2C5","KAKTOVIK NUMERAL FIVE","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119493
" 𝋆 ","1D2C6","KAKTOVIK NUMERAL SIX","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119494
" 𝋇 ","1D2C7","KAKTOVIK NUMERAL SEVEN","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119495
" 𝋈 ","1D2C8","KAKTOVIK NUMERAL EIGHT","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119496
" 𝋉 ","1D2C9","KAKTOVIK NUMERAL NINE","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119497
" 𝋊 ","1D2CA","KAKTOVIK NUMERAL TEN","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119498
" 𝋋 ","1D2CB","KAKTOVIK NUMERAL ELEVEN","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119499
" 𝋌 ","1D2CC","KAKTOVIK NUMERAL TWELVE","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119500
" 𝋍 ","1D2CD","KAKTOVIK NUMERAL THIRTEEN","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119501
" 𝋎 ","1D2CE","KAKTOVIK NUMERAL FOURTEEN","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119502
" 𝋏 ","1D2CF","KAKTOVIK NUMERAL FIFTEEN","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119503
" 𝋐 ","1D2D0","KAKTOVIK NUMERAL SIXTEEN","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119504
" 𝋑 ","1D2D1","KAKTOVIK NUMERAL SEVENTEEN","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119505
" 𝋒 ","1D2D2","KAKTOVIK NUMERAL EIGHTEEN","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119506
" 𝋓 ","1D2D3","KAKTOVIK NUMERAL NINETEEN","Other Number",NA,"No","Kaktovik_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119507
" 𝋔 ","1D2D4","Unknown","Unknown Script",NA,"No","Kaktovik_Numerals","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119508
" 𝋕 ","1D2D5","Unknown","Unknown Script",NA,"No","Kaktovik_Numerals","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119509
" 𝋖 ","1D2D6","Unknown","Unknown Script",NA,"No","Kaktovik_Numerals","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119510
" 𝋗 ","1D2D7","Unknown","Unknown Script",NA,"No","Kaktovik_Numerals","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119511
