"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𝋠 ","1D2E0","MAYAN NUMERAL ZERO","Other Number",NA,"No","Mayan_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119520
" 𝋡 ","1D2E1","MAYAN NUMERAL ONE","Other Number",NA,"No","Mayan_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119521
" 𝋢 ","1D2E2","MAYAN NUMERAL TWO","Other Number",NA,"No","Mayan_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119522
" 𝋣 ","1D2E3","MAYAN NUMERAL THREE","Other Number",NA,"No","Mayan_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119523
" 𝋤 ","1D2E4","MAYAN NUMERAL FOUR","Other Number",NA,"No","Mayan_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119524
" 𝋥 ","1D2E5","MAYAN NUMERAL FIVE","Other Number",NA,"No","Mayan_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119525
" 𝋦 ","1D2E6","MAYAN NUMERAL SIX","Other Number",NA,"No","Mayan_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119526
" 𝋧 ","1D2E7","MAYAN NUMERAL SEVEN","Other Number",NA,"No","Mayan_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119527
" 𝋨 ","1D2E8","MAYAN NUMERAL EIGHT","Other Number",NA,"No","Mayan_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119528
" 𝋩 ","1D2E9","MAYAN NUMERAL NINE","Other Number",NA,"No","Mayan_Numerals","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119529
