"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𝌀 ","1D300","MONOGRAM FOR EARTH","Other Symbol",NA,"No","Tai_Xuan_Jing_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119552
" 𝌁 ","1D301","DIGRAM FOR HEAVENLY EARTH","Other Symbol",NA,"No","Tai_Xuan_Jing_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119553
" 𝌂 ","1D302","DIGRAM FOR HUMAN EARTH","Other Symbol",NA,"No","Tai_Xuan_Jing_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119554
" 𝌃 ","1D303","DIGRAM FOR EARTHLY HEAVEN","Other Symbol",NA,"No","Tai_Xuan_Jing_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119555
" 𝌄 ","1D304","DIGRAM FOR EARTHLY HUMAN","Other Symbol",NA,"No","Tai_Xuan_Jing_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119556
" 𝌅 ","1D305","DIGRAM FOR EARTH","Other Symbol",NA,"No","Tai_Xuan_Jing_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119557
" 𝌆 ","1D306","TETRAGRAM FOR CENTRE","Other Symbol",NA,"No","Tai_Xuan_Jing_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119558
" 𝌇 ","1D307","TETRAGRAM FOR FULL CIRCLE","Other Symbol",NA,"No","Tai_Xuan_Jing_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119559
" 𝌈 ","1D308","TETRAGRAM FOR MIRED","Other Symbol",NA,"No","Tai_Xuan_Jing_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119560
" 𝌉 ","1D309","TETRAGRAM FOR BARRIER","Other Symbol",NA,"No","Tai_Xuan_Jing_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119561
" 𝌊 ","1D30A","TETRAGRAM FOR KEEPING SMALL","Other Symbol",NA,"No","Tai_Xuan_Jing_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119562
" 𝌋 ","1D30B","TETRAGRAM FOR CONTRARIETY","Other Symbol",NA,"No","Tai_Xuan_Jing_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119563
" 𝌌 ","1D30C","TETRAGRAM FOR ASCENT","Other Symbol",NA,"No","Tai_Xuan_Jing_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119564
" 𝌍 ","1D30D","TETRAGRAM FOR OPPOSITION","Other Symbol",NA,"No","Tai_Xuan_Jing_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",119565
