"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𝐀 ","1D400","MATHEMATICAL BOLD CAPITAL A","Uppercase Letter",NA,"Yes","Mathematical_Alphanumeric_Symbols","Uppercase_Letter","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",119808
" 𝐁 ","1D401","MATHEMATICAL BOLD CAPITAL B","Uppercase Letter",NA,"Yes","Mathematical_Alphanumeric_Symbols","Uppercase_Letter","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",119809
" 𝐂 ","1D402","MATHEMATICAL BOLD CAPITAL C","Uppercase Letter",NA,"Yes","Mathematical_Alphanumeric_Symbols","Uppercase_Letter","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",119810
" 𝐃 ","1D403","MATHEMATICAL BOLD CAPITAL D","Uppercase Letter",NA,"Yes","Mathematical_Alphanumeric_Symbols","Uppercase_Letter","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",119811
" 𝐄 ","1D404","MATHEMATICAL BOLD CAPITAL E","Uppercase Letter",NA,"Yes","Mathematical_Alphanumeric_Symbols","Uppercase_Letter","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",119812
" 𝐅 ","1D405","MATHEMATICAL BOLD CAPITAL F","Uppercase Letter",NA,"Yes","Mathematical_Alphanumeric_Symbols","Uppercase_Letter","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",119813
" 𝐆 ","1D406","MATHEMATICAL BOLD CAPITAL G","Uppercase Letter",NA,"Yes","Mathematical_Alphanumeric_Symbols","Uppercase_Letter","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",119814
" 𝐇 ","1D407","MATHEMATICAL BOLD CAPITAL H","Uppercase Letter",NA,"Yes","Mathematical_Alphanumeric_Symbols","Uppercase_Letter","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",119815
" 𝐈 ","1D408","MATHEMATICAL BOLD CAPITAL I","Uppercase Letter",NA,"Yes","Mathematical_Alphanumeric_Symbols","Uppercase_Letter","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",119816
" 𝐉 ","1D409","MATHEMATICAL BOLD CAPITAL J","Uppercase Letter",NA,"Yes","Mathematical_Alphanumeric_Symbols","Uppercase_Letter","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",119817
