"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𝠀 ","1D800","SIGNWRITING HAND-FIST INDEX","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120832
" 𝠁 ","1D801","SIGNWRITING HAND-CIRCLE INDEX","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120833
" 𝠂 ","1D802","SIGNWRITING HAND-CUP INDEX","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120834
" 𝠃 ","1D803","SIGNWRITING HAND-OVAL INDEX","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120835
" 𝠄 ","1D804","SIGNWRITING HAND-HINGE INDEX","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120836
" 𝠅 ","1D805","SIGNWRITING HAND-ANGLE INDEX","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120837
" 𝠆 ","1D806","SIGNWRITING HAND-FIST INDEX BENT","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120838
" 𝠇 ","1D807","SIGNWRITING HAND-CIRCLE INDEX BENT","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120839
" 𝠈 ","1D808","SIGNWRITING HAND-FIST THUMB UNDER INDEX BENT","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120840
" 𝠉 ","1D809","SIGNWRITING HAND-FIST INDEX RAISED KNUCKLE","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120841
" 𝠊 ","1D80A","SIGNWRITING HAND-FIST INDEX CUPPED","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120842
" 𝠋 ","1D80B","SIGNWRITING HAND-FIST INDEX HINGED","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120843
" 𝠌 ","1D80C","SIGNWRITING HAND-FIST INDEX HINGED LOW","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120844
" 𝠍 ","1D80D","SIGNWRITING HAND-CIRCLE INDEX HINGE","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120845
" 𝠎 ","1D80E","SIGNWRITING HAND-FIST INDEX MIDDLE","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120846
" 𝠏 ","1D80F","SIGNWRITING HAND-CIRCLE INDEX MIDDLE","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120847
" 𝠐 ","1D810","SIGNWRITING HAND-FIST INDEX MIDDLE BENT","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120848
" 𝠑 ","1D811","SIGNWRITING HAND-FIST INDEX MIDDLE RAISED KNUCKLES","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120849
" 𝠒 ","1D812","SIGNWRITING HAND-FIST INDEX MIDDLE HINGED","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120850
" 𝠓 ","1D813","SIGNWRITING HAND-FIST INDEX UP MIDDLE HINGED","Sign Writing Script","No","No","Sutton_SignWriting","Other_Symbol","Other","Sign_Writing","Sign_Writing","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",120851
