"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𝼀 ","1DF00","LATIN SMALL LETTER FENG DIGRAPH WITH TRILL","Latin Script",NA,"Yes","Latin_Extended_G","Lowercase_Letter","Other","Latin",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122624
" 𝼁 ","1DF01","LATIN SMALL LETTER REVERSED SCRIPT G","Latin Script",NA,"Yes","Latin_Extended_G","Lowercase_Letter","Other","Latin",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122625
" 𝼂 ","1DF02","LATIN LETTER SMALL CAPITAL TURNED G","Latin Script",NA,"Yes","Latin_Extended_G","Lowercase_Letter","Other","Latin",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122626
" 𝼃 ","1DF03","LATIN SMALL LETTER REVERSED K","Latin Script",NA,"Yes","Latin_Extended_G","Lowercase_Letter","Other","Latin",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122627
" 𝼄 ","1DF04","LATIN LETTER SMALL CAPITAL L WITH BELT","Latin Script",NA,"Yes","Latin_Extended_G","Lowercase_Letter","Other","Latin",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122628
" 𝼅 ","1DF05","LATIN SMALL LETTER LEZH WITH RETROFLEX HOOK","Latin Script",NA,"Yes","Latin_Extended_G","Lowercase_Letter","Other","Latin",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122629
" 𝼆 ","1DF06","LATIN SMALL LETTER TURNED Y WITH BELT","Latin Script",NA,"Yes","Latin_Extended_G","Lowercase_Letter","Other","Latin",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122630
" 𝼇 ","1DF07","LATIN SMALL LETTER REVERSED ENG","Latin Script",NA,"Yes","Latin_Extended_G","Lowercase_Letter","Other","Latin",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122631
" 𝼈 ","1DF08","LATIN SMALL LETTER TURNED R WITH LONG LEG AND RETROFLEX HOOK","Latin Script",NA,"Yes","Latin_Extended_G","Lowercase_Letter","Other","Latin",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122632
" 𝼉 ","1DF09","LATIN SMALL LETTER T WITH HOOK AND RETROFLEX HOOK","Latin Script",NA,"Yes","Latin_Extended_G","Lowercase_Letter","Other","Latin",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122633
" 𝼊 ","1DF0A","LATIN LETTER RETROFLEX CLICK WITH RETROFLEX HOOK","Latin Script",NA,"Yes","Latin_Extended_G","Other_Letter","Other","Latin",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122634
" 𝼋 ","1DF0B","LATIN SMALL LETTER ESH WITH DOUBLE BAR","Latin Script",NA,"Yes","Latin_Extended_G","Lowercase_Letter","Other","Latin",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122635
" 𝼌 ","1DF0C","LATIN SMALL LETTER ESH WITH DOUBLE BAR AND CURL","Latin Script",NA,"Yes","Latin_Extended_G","Lowercase_Letter","Other","Latin",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122636
" 𝼍 ","1DF0D","LATIN SMALL LETTER TURNED T WITH CURL","Latin Script",NA,"Yes","Latin_Extended_G","Lowercase_Letter","Other","Latin",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122637
" 𝼎 ","1DF0E","LATIN LETTER INVERTED GLOTTAL STOP WITH CURL","Latin Script",NA,"Yes","Latin_Extended_G","Lowercase_Letter","Other","Latin",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122638
