"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𞀰 ","1E030","MODIFIER LETTER CYRILLIC SMALL A","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122928
" 𞀱 ","1E031","MODIFIER LETTER CYRILLIC SMALL BE","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122929
" 𞀲 ","1E032","MODIFIER LETTER CYRILLIC SMALL VE","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122930
" 𞀳 ","1E033","MODIFIER LETTER CYRILLIC SMALL GHE","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122931
" 𞀴 ","1E034","MODIFIER LETTER CYRILLIC SMALL DE","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122932
" 𞀵 ","1E035","MODIFIER LETTER CYRILLIC SMALL IE","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122933
" 𞀶 ","1E036","MODIFIER LETTER CYRILLIC SMALL ZHE","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122934
" 𞀷 ","1E037","MODIFIER LETTER CYRILLIC SMALL ZE","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122935
" 𞀸 ","1E038","MODIFIER LETTER CYRILLIC SMALL I","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122936
" 𞀹 ","1E039","MODIFIER LETTER CYRILLIC SMALL KA","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122937
" 𞀺 ","1E03A","MODIFIER LETTER CYRILLIC SMALL EL","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122938
" 𞀻 ","1E03B","MODIFIER LETTER CYRILLIC SMALL EM","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122939
" 𞀼 ","1E03C","MODIFIER LETTER CYRILLIC SMALL O","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122940
" 𞀽 ","1E03D","MODIFIER LETTER CYRILLIC SMALL PE","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122941
" 𞀾 ","1E03E","MODIFIER LETTER CYRILLIC SMALL ER","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122942
" 𞀿 ","1E03F","MODIFIER LETTER CYRILLIC SMALL ES","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122943
" 𞁀 ","1E040","MODIFIER LETTER CYRILLIC SMALL TE","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122944
" 𞁁 ","1E041","MODIFIER LETTER CYRILLIC SMALL U","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122945
" 𞁂 ","1E042","MODIFIER LETTER CYRILLIC SMALL EF","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122946
" 𞁃 ","1E043","MODIFIER LETTER CYRILLIC SMALL HA","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122947
" 𞁄 ","1E044","MODIFIER LETTER CYRILLIC SMALL TSE","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122948
" 𞁅 ","1E045","MODIFIER LETTER CYRILLIC SMALL CHE","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122949
" 𞁆 ","1E046","MODIFIER LETTER CYRILLIC SMALL SHA","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122950
" 𞁇 ","1E047","MODIFIER LETTER CYRILLIC SMALL YERU","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122951
" 𞁈 ","1E048","MODIFIER LETTER CYRILLIC SMALL E","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122952
" 𞁉 ","1E049","MODIFIER LETTER CYRILLIC SMALL YU","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122953
" 𞁊 ","1E04A","MODIFIER LETTER CYRILLIC SMALL DZZE","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122954
" 𞁋 ","1E04B","MODIFIER LETTER CYRILLIC SMALL SCHWA","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122955
" 𞁌 ","1E04C","MODIFIER LETTER CYRILLIC SMALL BYELORUSSIAN-UKRAINIAN I","Cyrillic Script",NA,"Yes","Cyrillic_Extended_D","Modifier_Letter","Other","Cyrillic",NA,"No","No","Not_Reordered",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",122956
