"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𞊐 ","1E290","TOTO LETTER PA","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123536
" 𞊑 ","1E291","TOTO LETTER BA","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123537
" 𞊒 ","1E292","TOTO LETTER TA","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123538
" 𞊓 ","1E293","TOTO LETTER DA","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123539
" 𞊔 ","1E294","TOTO LETTER KA","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123540
" 𞊕 ","1E295","TOTO LETTER GA","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123541
" 𞊖 ","1E296","TOTO LETTER MA","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123542
" 𞊗 ","1E297","TOTO LETTER NA","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123543
" 𞊘 ","1E298","TOTO LETTER NGA","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123544
" 𞊙 ","1E299","TOTO LETTER SA","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123545
" 𞊚 ","1E29A","TOTO LETTER CHA","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123546
" 𞊛 ","1E29B","TOTO LETTER YA","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123547
" 𞊜 ","1E29C","TOTO LETTER WA","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123548
" 𞊝 ","1E29D","TOTO LETTER JA","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123549
" 𞊞 ","1E29E","TOTO LETTER HA","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123550
" 𞊟 ","1E29F","TOTO LETTER RA","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123551
" 𞊠 ","1E2A0","TOTO LETTER LA","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123552
" 𞊡 ","1E2A1","TOTO LETTER I","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123553
" 𞊢 ","1E2A2","TOTO LETTER BREATHY I","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123554
" 𞊣 ","1E2A3","TOTO LETTER IU","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123555
" 𞊤 ","1E2A4","TOTO LETTER BREATHY IU","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123556
" 𞊥 ","1E2A5","TOTO LETTER U","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123557
" 𞊦 ","1E2A6","TOTO LETTER E","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123558
" 𞊧 ","1E2A7","TOTO LETTER BREATHY E","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123559
" 𞊨 ","1E2A8","TOTO LETTER EO","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123560
" 𞊩 ","1E2A9","TOTO LETTER BREATHY EO","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123561
" 𞊪 ","1E2AA","TOTO LETTER O","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123562
" 𞊫 ","1E2AB","TOTO LETTER AE","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123563
" 𞊬 ","1E2AC","TOTO LETTER BREATHY AE","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123564
" 𞊭 ","1E2AD","TOTO LETTER A","Toto Script",NA,"Yes","Toto","Other_Letter","Other","Toto",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123565
" 𞊮 ","1E2AE","TOTO SIGN RISING TONE","Toto Script",NA,"No","Toto","Nonspacing_Mark","Other","Toto",NA,"No","No","Above",NA,"No","Yes","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123566
" 𞊯 ","1E2AF","Unknown","Unknown Script",NA,"No","Toto","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123567
" 𞊰 ","1E2B0","Unknown","Unknown Script",NA,"No","Toto","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123568
" 𞊱 ","1E2B1","Unknown","Unknown Script",NA,"No","Toto","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123569
" 𞊲 ","1E2B2","Unknown","Unknown Script",NA,"No","Toto","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123570
" 𞊳 ","1E2B3","Unknown","Unknown Script",NA,"No","Toto","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123571
" 𞊴 ","1E2B4","Unknown","Unknown Script",NA,"No","Toto","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123572
" 𞊵 ","1E2B5","Unknown","Unknown Script",NA,"No","Toto","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123573
" 𞊶 ","1E2B6","Unknown","Unknown Script",NA,"No","Toto","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",123574
