"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𞓐 ","1E4D0","NAG MUNDARI LETTER O","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124112
" 𞓑 ","1E4D1","NAG MUNDARI LETTER OP","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124113
" 𞓒 ","1E4D2","NAG MUNDARI LETTER OL","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124114
" 𞓓 ","1E4D3","NAG MUNDARI LETTER OY","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124115
" 𞓔 ","1E4D4","NAG MUNDARI LETTER ONG","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124116
" 𞓕 ","1E4D5","NAG MUNDARI LETTER A","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124117
" 𞓖 ","1E4D6","NAG MUNDARI LETTER AJ","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124118
" 𞓗 ","1E4D7","NAG MUNDARI LETTER AB","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124119
" 𞓘 ","1E4D8","NAG MUNDARI LETTER ANY","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124120
" 𞓙 ","1E4D9","NAG MUNDARI LETTER AH","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124121
" 𞓚 ","1E4DA","NAG MUNDARI LETTER I","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124122
" 𞓛 ","1E4DB","NAG MUNDARI LETTER IS","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124123
" 𞓜 ","1E4DC","NAG MUNDARI LETTER IDD","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124124
" 𞓝 ","1E4DD","NAG MUNDARI LETTER IT","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124125
" 𞓞 ","1E4DE","NAG MUNDARI LETTER IH","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124126
" 𞓟 ","1E4DF","NAG MUNDARI LETTER U","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124127
" 𞓠 ","1E4E0","NAG MUNDARI LETTER UC","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124128
" 𞓡 ","1E4E1","NAG MUNDARI LETTER UD","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124129
" 𞓢 ","1E4E2","NAG MUNDARI LETTER UK","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124130
" 𞓣 ","1E4E3","NAG MUNDARI LETTER UR","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124131
" 𞓤 ","1E4E4","NAG MUNDARI LETTER E","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124132
" 𞓥 ","1E4E5","NAG MUNDARI LETTER ENN","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124133
" 𞓦 ","1E4E6","NAG MUNDARI LETTER EG","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124134
" 𞓧 ","1E4E7","NAG MUNDARI LETTER EM","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124135
" 𞓨 ","1E4E8","NAG MUNDARI LETTER EN","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124136
" 𞓩 ","1E4E9","NAG MUNDARI LETTER ETT","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124137
" 𞓪 ","1E4EA","NAG MUNDARI LETTER ELL","Nag Mundari Script",NA,"Yes","Nag_Mundari","Other_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124138
" 𞓫 ","1E4EB","NAG MUNDARI SIGN OJOD","Nag Mundari Script",NA,"Yes","Nag_Mundari","Modifier_Letter","Other","Nag_Mundari",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124139
" 𞓬 ","1E4EC","NAG MUNDARI SIGN MUHOR","Nag Mundari Script",NA,"No","Nag_Mundari","Nonspacing_Mark","Other","Nag_Mundari",NA,"No","No","Above_Right",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124140
" 𞓭 ","1E4ED","NAG MUNDARI SIGN TOYOR","Nag Mundari Script",NA,"No","Nag_Mundari","Nonspacing_Mark","Other","Nag_Mundari",NA,"No","No","Above_Right",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124141
