"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𞛀 ","1E6C0","TAI YO LETTER LOW KO","Tai Yo Script",NA,"Yes","Tai_Yo","Other_Letter","Other","Tai_Yo",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124608
" 𞛁 ","1E6C1","TAI YO LETTER HIGH KO","Tai Yo Script",NA,"Yes","Tai_Yo","Other_Letter","Other","Tai_Yo",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124609
" 𞛂 ","1E6C2","TAI YO LETTER LOW KHO","Tai Yo Script",NA,"Yes","Tai_Yo","Other_Letter","Other","Tai_Yo",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124610
" 𞛃 ","1E6C3","TAI YO LETTER HIGH KHO","Tai Yo Script",NA,"Yes","Tai_Yo","Other_Letter","Other","Tai_Yo",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124611
" 𞛄 ","1E6C4","TAI YO LETTER GO","Tai Yo Script",NA,"Yes","Tai_Yo","Other_Letter","Other","Tai_Yo",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124612
" 𞛅 ","1E6C5","TAI YO LETTER NGO","Tai Yo Script",NA,"Yes","Tai_Yo","Other_Letter","Other","Tai_Yo",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124613
" 𞛆 ","1E6C6","TAI YO LETTER CO","Tai Yo Script",NA,"Yes","Tai_Yo","Other_Letter","Other","Tai_Yo",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124614
" 𞛇 ","1E6C7","TAI YO LETTER LOW XO","Tai Yo Script",NA,"Yes","Tai_Yo","Other_Letter","Other","Tai_Yo",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124615
" 𞛈 ","1E6C8","TAI YO LETTER HIGH XO","Tai Yo Script",NA,"Yes","Tai_Yo","Other_Letter","Other","Tai_Yo",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124616
" 𞛉 ","1E6C9","TAI YO LETTER LOW NYO","Tai Yo Script",NA,"Yes","Tai_Yo","Other_Letter","Other","Tai_Yo",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124617
" 𞛊 ","1E6CA","TAI YO LETTER HIGH NYO","Tai Yo Script",NA,"Yes","Tai_Yo","Other_Letter","Other","Tai_Yo",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124618
" 𞛋 ","1E6CB","TAI YO LETTER DO","Tai Yo Script",NA,"Yes","Tai_Yo","Other_Letter","Other","Tai_Yo",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124619
