"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𞟠 ","1E7E0","ETHIOPIC SYLLABLE HHYA","Ethiopic Script",NA,"Yes","Ethiopic_Extended_B","Other_Letter","Other","Ethiopic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124896
" 𞟡 ","1E7E1","ETHIOPIC SYLLABLE HHYU","Ethiopic Script",NA,"Yes","Ethiopic_Extended_B","Other_Letter","Other","Ethiopic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124897
" 𞟢 ","1E7E2","ETHIOPIC SYLLABLE HHYI","Ethiopic Script",NA,"Yes","Ethiopic_Extended_B","Other_Letter","Other","Ethiopic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124898
" 𞟣 ","1E7E3","ETHIOPIC SYLLABLE HHYAA","Ethiopic Script",NA,"Yes","Ethiopic_Extended_B","Other_Letter","Other","Ethiopic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124899
" 𞟤 ","1E7E4","ETHIOPIC SYLLABLE HHYEE","Ethiopic Script",NA,"Yes","Ethiopic_Extended_B","Other_Letter","Other","Ethiopic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124900
" 𞟥 ","1E7E5","ETHIOPIC SYLLABLE HHYE","Ethiopic Script",NA,"Yes","Ethiopic_Extended_B","Other_Letter","Other","Ethiopic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124901
" 𞟦 ","1E7E6","ETHIOPIC SYLLABLE HHYO","Ethiopic Script",NA,"Yes","Ethiopic_Extended_B","Other_Letter","Other","Ethiopic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124902
" 𞟧 ","1E7E7","Unknown","Unknown Script",NA,"No","Ethiopic_Extended_B","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124903
" 𞟨 ","1E7E8","ETHIOPIC SYLLABLE GURAGE HHWA","Ethiopic Script",NA,"Yes","Ethiopic_Extended_B","Other_Letter","Other","Ethiopic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124904
" 𞟩 ","1E7E9","ETHIOPIC SYLLABLE HHWI","Ethiopic Script",NA,"Yes","Ethiopic_Extended_B","Other_Letter","Other","Ethiopic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",124905
