"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𞱰 ","1EC70","Unknown","Unknown Script",NA,"No","Indic_Siyaq_Numbers","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126064
" 𞱱 ","1EC71","INDIC SIYAQ NUMBER ONE","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126065
" 𞱲 ","1EC72","INDIC SIYAQ NUMBER TWO","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126066
" 𞱳 ","1EC73","INDIC SIYAQ NUMBER THREE","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126067
" 𞱴 ","1EC74","INDIC SIYAQ NUMBER FOUR","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126068
" 𞱵 ","1EC75","INDIC SIYAQ NUMBER FIVE","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126069
" 𞱶 ","1EC76","INDIC SIYAQ NUMBER SIX","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126070
" 𞱷 ","1EC77","INDIC SIYAQ NUMBER SEVEN","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126071
" 𞱸 ","1EC78","INDIC SIYAQ NUMBER EIGHT","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126072
" 𞱹 ","1EC79","INDIC SIYAQ NUMBER NINE","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126073
" 𞱺 ","1EC7A","INDIC SIYAQ NUMBER TEN","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126074
" 𞱻 ","1EC7B","INDIC SIYAQ NUMBER TWENTY","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126075
" 𞱼 ","1EC7C","INDIC SIYAQ NUMBER THIRTY","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126076
" 𞱽 ","1EC7D","INDIC SIYAQ NUMBER FORTY","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126077
" 𞱾 ","1EC7E","INDIC SIYAQ NUMBER FIFTY","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126078
" 𞱿 ","1EC7F","INDIC SIYAQ NUMBER SIXTY","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126079
" 𞲀 ","1EC80","INDIC SIYAQ NUMBER SEVENTY","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126080
" 𞲁 ","1EC81","INDIC SIYAQ NUMBER EIGHTY","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126081
" 𞲂 ","1EC82","INDIC SIYAQ NUMBER NINETY","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126082
" 𞲃 ","1EC83","INDIC SIYAQ NUMBER ONE HUNDRED","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126083
" 𞲄 ","1EC84","INDIC SIYAQ NUMBER TWO HUNDRED","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126084
" 𞲅 ","1EC85","INDIC SIYAQ NUMBER THREE HUNDRED","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126085
" 𞲆 ","1EC86","INDIC SIYAQ NUMBER FOUR HUNDRED","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126086
" 𞲇 ","1EC87","INDIC SIYAQ NUMBER FIVE HUNDRED","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126087
" 𞲈 ","1EC88","INDIC SIYAQ NUMBER SIX HUNDRED","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126088
" 𞲉 ","1EC89","INDIC SIYAQ NUMBER SEVEN HUNDRED","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126089
" 𞲊 ","1EC8A","INDIC SIYAQ NUMBER EIGHT HUNDRED","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126090
" 𞲋 ","1EC8B","INDIC SIYAQ NUMBER NINE HUNDRED","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126091
" 𞲌 ","1EC8C","INDIC SIYAQ NUMBER ONE THOUSAND","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126092
" 𞲍 ","1EC8D","INDIC SIYAQ NUMBER TWO THOUSAND","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126093
" 𞲎 ","1EC8E","INDIC SIYAQ NUMBER THREE THOUSAND","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126094
" 𞲏 ","1EC8F","INDIC SIYAQ NUMBER FOUR THOUSAND","Other Number",NA,"No","Indic_Siyaq_Numbers","Other_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126095
