"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𞸀 ","1EE00","ARABIC MATHEMATICAL ALEF","Arabic Script",NA,"Yes","Arabic_Mathematical_Alphabetic_Symbols","Other_Letter","Other","Arabic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",126464
" 𞸁 ","1EE01","ARABIC MATHEMATICAL BEH","Arabic Script",NA,"Yes","Arabic_Mathematical_Alphabetic_Symbols","Other_Letter","Other","Arabic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",126465
" 𞸂 ","1EE02","ARABIC MATHEMATICAL JEEM","Arabic Script",NA,"Yes","Arabic_Mathematical_Alphabetic_Symbols","Other_Letter","Other","Arabic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",126466
" 𞸃 ","1EE03","ARABIC MATHEMATICAL DAL","Arabic Script",NA,"Yes","Arabic_Mathematical_Alphabetic_Symbols","Other_Letter","Other","Arabic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",126467
" 𞸄 ","1EE04","Unknown","Unknown Script",NA,"No","Arabic_Mathematical_Alphabetic_Symbols","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",126468
" 𞸅 ","1EE05","ARABIC MATHEMATICAL WAW","Arabic Script",NA,"Yes","Arabic_Mathematical_Alphabetic_Symbols","Other_Letter","Other","Arabic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",126469
" 𞸆 ","1EE06","ARABIC MATHEMATICAL ZAIN","Arabic Script",NA,"Yes","Arabic_Mathematical_Alphabetic_Symbols","Other_Letter","Other","Arabic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",126470
" 𞸇 ","1EE07","ARABIC MATHEMATICAL HAH","Arabic Script",NA,"Yes","Arabic_Mathematical_Alphabetic_Symbols","Other_Letter","Other","Arabic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",126471
" 𞸈 ","1EE08","ARABIC MATHEMATICAL TAH","Arabic Script",NA,"Yes","Arabic_Mathematical_Alphabetic_Symbols","Other_Letter","Other","Arabic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",126472
" 𞸉 ","1EE09","ARABIC MATHEMATICAL YEH","Arabic Script",NA,"Yes","Arabic_Mathematical_Alphabetic_Symbols","Other_Letter","Other","Arabic",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","Yes","No","No","No","No","No",126473
