"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 🂠 ","1F0A0","PLAYING CARD BACK","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127136
" 🂡 ","1F0A1","PLAYING CARD ACE OF SPADES","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127137
" 🂢 ","1F0A2","PLAYING CARD TWO OF SPADES","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127138
" 🂣 ","1F0A3","PLAYING CARD THREE OF SPADES","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127139
" 🂤 ","1F0A4","PLAYING CARD FOUR OF SPADES","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127140
" 🂥 ","1F0A5","PLAYING CARD FIVE OF SPADES","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127141
" 🂦 ","1F0A6","PLAYING CARD SIX OF SPADES","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127142
" 🂧 ","1F0A7","PLAYING CARD SEVEN OF SPADES","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127143
" 🂨 ","1F0A8","PLAYING CARD EIGHT OF SPADES","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127144
" 🂩 ","1F0A9","PLAYING CARD NINE OF SPADES","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127145
" 🂪 ","1F0AA","PLAYING CARD TEN OF SPADES","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127146
" 🂫 ","1F0AB","PLAYING CARD JACK OF SPADES","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127147
" 🂬 ","1F0AC","PLAYING CARD KNIGHT OF SPADES","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127148
" 🂭 ","1F0AD","PLAYING CARD QUEEN OF SPADES","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127149
" 🂮 ","1F0AE","PLAYING CARD KING OF SPADES","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127150
" � ","1F0AF","Unknown","Unknown Script","No","No","Playing_Cards","Unassigned","Other","Unknown","Unknown","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127151
" � ","1F0B0","Unknown","Unknown Script","No","No","Playing_Cards","Unassigned","Other","Unknown","Unknown","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127152
" 🂱 ","1F0B1","PLAYING CARD ACE OF HEARTS","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127153
" 🂲 ","1F0B2","PLAYING CARD TWO OF HEARTS","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127154
" 🂳 ","1F0B3","PLAYING CARD THREE OF HEARTS","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127155
" 🂴 ","1F0B4","PLAYING CARD FOUR OF HEARTS","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127156
" 🂵 ","1F0B5","PLAYING CARD FIVE OF HEARTS","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127157
" 🂶 ","1F0B6","PLAYING CARD SIX OF HEARTS","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127158
" 🂷 ","1F0B7","PLAYING CARD SEVEN OF HEARTS","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127159
" 🂸 ","1F0B8","PLAYING CARD EIGHT OF HEARTS","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127160
" 🂹 ","1F0B9","PLAYING CARD NINE OF HEARTS","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127161
" 🂺 ","1F0BA","PLAYING CARD TEN OF HEARTS","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127162
" 🂻 ","1F0BB","PLAYING CARD JACK OF HEARTS","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127163
" 🂼 ","1F0BC","PLAYING CARD KNIGHT OF HEARTS","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127164
" 🂽 ","1F0BD","PLAYING CARD QUEEN OF HEARTS","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127165
" 🂾 ","1F0BE","PLAYING CARD KING OF HEARTS","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127166
" 🂿 ","1F0BF","PLAYING CARD RED JOKER","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127167
" � ","1F0C0","Unknown","Unknown Script","No","No","Playing_Cards","Unassigned","Other","Unknown","Unknown","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127168
" 🃁 ","1F0C1","PLAYING CARD ACE OF DIAMONDS","Other Symbol","No","No","Playing_Cards","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127169
