"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 🈀 ","1F200","SQUARE HIRAGANA HOKA","Hiragana Script","No","No","Enclosed_Ideographic_Supplement","Other_Symbol","Other","Hiragana","Hiragana","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","na","No","No","No","No","No","No","No",127488
" 🈁 ","1F201","SQUARED KATAKANA KOKO","Other Symbol","No","No","Enclosed_Ideographic_Supplement","Other_Symbol","Other","Common","Common","No","Yes","Not_Reordered",NA,"No","No","Yes",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127489
" 🈂 ","1F202","SQUARED KATAKANA SA","Other Symbol","No","No","Enclosed_Ideographic_Supplement","Other_Symbol","Other","Common","Common","No","No","Not_Reordered",NA,"No","No","Yes",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127490
" � ","1F203","Unknown","Unknown Script","No","No","Enclosed_Ideographic_Supplement","Unassigned","Other","Unknown","Unknown","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127491
" � ","1F204","Unknown","Unknown Script","No","No","Enclosed_Ideographic_Supplement","Unassigned","Other","Unknown","Unknown","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127492
" � ","1F205","Unknown","Unknown Script","No","No","Enclosed_Ideographic_Supplement","Unassigned","Other","Unknown","Unknown","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127493
" � ","1F206","Unknown","Unknown Script","No","No","Enclosed_Ideographic_Supplement","Unassigned","Other","Unknown","Unknown","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127494
" � ","1F207","Unknown","Unknown Script","No","No","Enclosed_Ideographic_Supplement","Unassigned","Other","Unknown","Unknown","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127495
" � ","1F208","Unknown","Unknown Script","No","No","Enclosed_Ideographic_Supplement","Unassigned","Other","Unknown","Unknown","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127496
" � ","1F209","Unknown","Unknown Script","No","No","Enclosed_Ideographic_Supplement","Unassigned","Other","Unknown","Unknown","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127497
" � ","1F20A","Unknown","Unknown Script","No","No","Enclosed_Ideographic_Supplement","Unassigned","Other","Unknown","Unknown","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127498
" � ","1F20B","Unknown","Unknown Script","No","No","Enclosed_Ideographic_Supplement","Unassigned","Other","Unknown","Unknown","No","No","Not_Reordered",NA,"No","No","No",NA,"Yes","Not_Applicable","na","No","No","No","No","No","No","No",127499
