"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 🌀 ","1F300","CYCLONE","Other Symbol",NA,"No","Miscellaneous_Symbols_And_Pictographs","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",127744
" 🌁 ","1F301","FOGGY","Other Symbol",NA,"No","Miscellaneous_Symbols_And_Pictographs","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",127745
" 🌂 ","1F302","CLOSED UMBRELLA","Other Symbol",NA,"No","Miscellaneous_Symbols_And_Pictographs","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",127746
" 🌃 ","1F303","NIGHT WITH STARS","Other Symbol",NA,"No","Miscellaneous_Symbols_And_Pictographs","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",127747
" 🌄 ","1F304","SUNRISE OVER MOUNTAINS","Other Symbol",NA,"No","Miscellaneous_Symbols_And_Pictographs","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",127748
" 🌅 ","1F305","SUNRISE","Other Symbol",NA,"No","Miscellaneous_Symbols_And_Pictographs","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",127749
" 🌆 ","1F306","CITYSCAPE AT DUSK","Other Symbol",NA,"No","Miscellaneous_Symbols_And_Pictographs","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",127750
" 🌇 ","1F307","SUNSET OVER BUILDINGS","Other Symbol",NA,"No","Miscellaneous_Symbols_And_Pictographs","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",127751
" 🌈 ","1F308","RAINBOW","Other Symbol",NA,"No","Miscellaneous_Symbols_And_Pictographs","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",127752
" 🌉 ","1F309","BRIDGE AT NIGHT","Other Symbol",NA,"No","Miscellaneous_Symbols_And_Pictographs","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",127753
