"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 🨀 ","1FA00","NEUTRAL CHESS KING","Other Symbol",NA,"No","Chess_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129536
" 🨁 ","1FA01","NEUTRAL CHESS QUEEN","Other Symbol",NA,"No","Chess_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129537
" 🨂 ","1FA02","NEUTRAL CHESS ROOK","Other Symbol",NA,"No","Chess_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129538
" 🨃 ","1FA03","NEUTRAL CHESS BISHOP","Other Symbol",NA,"No","Chess_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129539
" 🨄 ","1FA04","NEUTRAL CHESS KNIGHT","Other Symbol",NA,"No","Chess_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129540
" 🨅 ","1FA05","NEUTRAL CHESS PAWN","Other Symbol",NA,"No","Chess_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129541
" 🨆 ","1FA06","WHITE CHESS KNIGHT ROTATED FORTY-FIVE DEGREES","Other Symbol",NA,"No","Chess_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129542
" 🨇 ","1FA07","BLACK CHESS KNIGHT ROTATED FORTY-FIVE DEGREES","Other Symbol",NA,"No","Chess_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129543
" 🨈 ","1FA08","NEUTRAL CHESS KNIGHT ROTATED FORTY-FIVE DEGREES","Other Symbol",NA,"No","Chess_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129544
" 🨉 ","1FA09","WHITE CHESS KING ROTATED NINETY DEGREES","Other Symbol",NA,"No","Chess_Symbols","Other_Symbol","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",129545
