"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 🩰 ","1FA70","BALLET SHOES","Other Symbol",NA,"No","Symbols_And_Pictographs_Extended_A","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",129648
" 🩱 ","1FA71","ONE-PIECE SWIMSUIT","Other Symbol",NA,"No","Symbols_And_Pictographs_Extended_A","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",129649
" 🩲 ","1FA72","BRIEFS","Other Symbol",NA,"No","Symbols_And_Pictographs_Extended_A","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",129650
" 🩳 ","1FA73","SHORTS","Other Symbol",NA,"No","Symbols_And_Pictographs_Extended_A","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",129651
" 🩴 ","1FA74","THONG SANDAL","Other Symbol",NA,"No","Symbols_And_Pictographs_Extended_A","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",129652
" 🩵 ","1FA75","LIGHT BLUE HEART","Other Symbol",NA,"No","Symbols_And_Pictographs_Extended_A","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",129653
" 🩶 ","1FA76","GREY HEART","Other Symbol",NA,"No","Symbols_And_Pictographs_Extended_A","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",129654
" 🩷 ","1FA77","PINK HEART","Other Symbol",NA,"No","Symbols_And_Pictographs_Extended_A","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",129655
" 🩸 ","1FA78","DROP OF BLOOD","Other Symbol",NA,"No","Symbols_And_Pictographs_Extended_A","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",129656
" 🩹 ","1FA79","ADHESIVE BANDAGE","Other Symbol",NA,"No","Symbols_And_Pictographs_Extended_A","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",129657
" 🩺 ","1FA7A","STETHOSCOPE","Other Symbol",NA,"No","Symbols_And_Pictographs_Extended_A","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",129658
" 🩻 ","1FA7B","X-RAY","Other Symbol",NA,"No","Symbols_And_Pictographs_Extended_A","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",129659
" 🩼 ","1FA7C","CRUTCH","Other Symbol",NA,"No","Symbols_And_Pictographs_Extended_A","Other_Symbol","Other","Common",NA,"No","Yes","Not_Reordered",NA,"No","No","Yes","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",129660
" 🩽 ","1FA7D","Unknown","Unknown Script",NA,"No","Symbols_And_Pictographs_Extended_A","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",129661
" 🩾 ","1FA7E","Unknown","Unknown Script",NA,"No","Symbols_And_Pictographs_Extended_A","Unassigned","Other","Unknown",NA,"No","No","Not_Reordered",NA,"No","No","No","null","Yes","Not_Applicable","na","No","No","No","No","No","No","No",129662
