"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 🯰 ","1FBF0","SEGMENTED DIGIT ZERO","Decimal Number",NA,"No","Symbols_For_Legacy_Computing","Decimal_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",130032
" 🯱 ","1FBF1","SEGMENTED DIGIT ONE","Decimal Number",NA,"No","Symbols_For_Legacy_Computing","Decimal_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",130033
" 🯲 ","1FBF2","SEGMENTED DIGIT TWO","Decimal Number",NA,"No","Symbols_For_Legacy_Computing","Decimal_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",130034
" 🯳 ","1FBF3","SEGMENTED DIGIT THREE","Decimal Number",NA,"No","Symbols_For_Legacy_Computing","Decimal_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",130035
" 🯴 ","1FBF4","SEGMENTED DIGIT FOUR","Decimal Number",NA,"No","Symbols_For_Legacy_Computing","Decimal_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",130036
" 🯵 ","1FBF5","SEGMENTED DIGIT FIVE","Decimal Number",NA,"No","Symbols_For_Legacy_Computing","Decimal_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",130037
" 🯶 ","1FBF6","SEGMENTED DIGIT SIX","Decimal Number",NA,"No","Symbols_For_Legacy_Computing","Decimal_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",130038
" 🯷 ","1FBF7","SEGMENTED DIGIT SEVEN","Decimal Number",NA,"No","Symbols_For_Legacy_Computing","Decimal_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",130039
" 🯸 ","1FBF8","SEGMENTED DIGIT EIGHT","Decimal Number",NA,"No","Symbols_For_Legacy_Computing","Decimal_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",130040
" 🯹 ","1FBF9","SEGMENTED DIGIT NINE","Decimal Number",NA,"No","Symbols_For_Legacy_Computing","Decimal_Number","Other","Common",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",130041
