"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𫝀 ","2B740","CJK UNIFIED IDEOGRAPH-2B740","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_D","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",177984
" 𫝁 ","2B741","CJK UNIFIED IDEOGRAPH-2B741","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_D","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",177985
" 𫝂 ","2B742","CJK UNIFIED IDEOGRAPH-2B742","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_D","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",177986
" 𫝃 ","2B743","CJK UNIFIED IDEOGRAPH-2B743","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_D","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",177987
" 𫝄 ","2B744","CJK UNIFIED IDEOGRAPH-2B744","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_D","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",177988
" 𫝅 ","2B745","CJK UNIFIED IDEOGRAPH-2B745","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_D","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",177989
" 𫝆 ","2B746","CJK UNIFIED IDEOGRAPH-2B746","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_D","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",177990
" 𫝇 ","2B747","CJK UNIFIED IDEOGRAPH-2B747","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_D","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",177991
" 𫝈 ","2B748","CJK UNIFIED IDEOGRAPH-2B748","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_D","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",177992
" 𫝉 ","2B749","CJK UNIFIED IDEOGRAPH-2B749","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_D","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",177993
