"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𮯰 ","2EBF0","CJK UNIFIED IDEOGRAPH-2EBF0","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_I","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",191472
" 𮯱 ","2EBF1","CJK UNIFIED IDEOGRAPH-2EBF1","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_I","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",191473
" 𮯲 ","2EBF2","CJK UNIFIED IDEOGRAPH-2EBF2","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_I","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",191474
" 𮯳 ","2EBF3","CJK UNIFIED IDEOGRAPH-2EBF3","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_I","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",191475
" 𮯴 ","2EBF4","CJK UNIFIED IDEOGRAPH-2EBF4","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_I","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",191476
" 𮯵 ","2EBF5","CJK UNIFIED IDEOGRAPH-2EBF5","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_I","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",191477
" 𮯶 ","2EBF6","CJK UNIFIED IDEOGRAPH-2EBF6","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_I","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",191478
" 𮯷 ","2EBF7","CJK UNIFIED IDEOGRAPH-2EBF7","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_I","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",191479
" 𮯸 ","2EBF8","CJK UNIFIED IDEOGRAPH-2EBF8","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_I","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",191480
" 𮯹 ","2EBF9","CJK UNIFIED IDEOGRAPH-2EBF9","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_I","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",191481
" 𮯺 ","2EBFA","CJK UNIFIED IDEOGRAPH-2EBFA","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_I","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",191482
" 𮯻 ","2EBFB","CJK UNIFIED IDEOGRAPH-2EBFB","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_I","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",191483
" 𮯼 ","2EBFC","CJK UNIFIED IDEOGRAPH-2EBFC","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_I","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",191484
" 𮯽 ","2EBFD","CJK UNIFIED IDEOGRAPH-2EBFD","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_I","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",191485
" 𮯾 ","2EBFE","CJK UNIFIED IDEOGRAPH-2EBFE","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_I","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",191486
