"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 餁 ","9901","CJK UNIFIED IDEOGRAPH-9901","Han Script","Yes","Yes","CJK_Unified_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",39169
" 餂 ","9902","CJK UNIFIED IDEOGRAPH-9902","Han Script","Yes","Yes","CJK_Unified_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",39170
" 餃 ","9903","CJK UNIFIED IDEOGRAPH-9903","Han Script","Yes","Yes","CJK_Unified_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Hant","Yes","No","No","No","No","Yes","No",39171
" 餄 ","9904","CJK UNIFIED IDEOGRAPH-9904","Han Script","Yes","Yes","CJK_Unified_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Hant","Yes","No","No","No","No","Yes","No",39172
" 餅 ","9905","CJK UNIFIED IDEOGRAPH-9905","Han Script","Yes","Yes","CJK_Unified_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Hant","Yes","No","No","No","No","Yes","No",39173
" 餆 ","9906","CJK UNIFIED IDEOGRAPH-9906","Han Script","Yes","Yes","CJK_Unified_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",39174
" 餇 ","9907","CJK UNIFIED IDEOGRAPH-9907","Han Script","Yes","Yes","CJK_Unified_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",39175
" 餈 ","9908","CJK UNIFIED IDEOGRAPH-9908","Han Script","Yes","Yes","CJK_Unified_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",39176
" 餉 ","9909","CJK UNIFIED IDEOGRAPH-9909","Han Script","Yes","Yes","CJK_Unified_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Hant","Yes","No","No","No","No","Yes","No",39177
" 養 ","990A","CJK UNIFIED IDEOGRAPH-990A","Han Script","Yes","Yes","CJK_Unified_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Hant","Yes","No","No","No","No","Yes","No",39178
" 餋 ","990B","CJK UNIFIED IDEOGRAPH-990B","Han Script","Yes","Yes","CJK_Unified_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",39179
" 餌 ","990C","CJK UNIFIED IDEOGRAPH-990C","Han Script","Yes","Yes","CJK_Unified_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Hant","Yes","No","No","No","No","Yes","No",39180
" 餍 ","990D","CJK UNIFIED IDEOGRAPH-990D","Han Script","Yes","Yes","CJK_Unified_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Hans","Yes","No","No","No","No","Yes","No",39181
" 餎 ","990E","CJK UNIFIED IDEOGRAPH-990E","Han Script","Yes","Yes","CJK_Unified_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Hant","Yes","No","No","No","No","Yes","No",39182
" 餏 ","990F","CJK UNIFIED IDEOGRAPH-990F","Han Script","Yes","Yes","CJK_Unified_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Hant","Yes","No","No","No","No","Yes","No",39183
" 餐 ","9910","CJK UNIFIED IDEOGRAPH-9910","Han Script","Yes","Yes","CJK_Unified_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",39184
