"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" ꀁ ","A001","YI SYLLABLE IX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40961
" ꀂ ","A002","YI SYLLABLE I","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40962
" ꀃ ","A003","YI SYLLABLE IP","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40963
" ꀄ ","A004","YI SYLLABLE IET","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40964
" ꀅ ","A005","YI SYLLABLE IEX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40965
" ꀆ ","A006","YI SYLLABLE IE","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40966
" ꀇ ","A007","YI SYLLABLE IEP","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40967
" ꀈ ","A008","YI SYLLABLE AT","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40968
" ꀉ ","A009","YI SYLLABLE AX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40969
" ꀊ ","A00A","YI SYLLABLE A","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40970
" ꀋ ","A00B","YI SYLLABLE AP","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40971
" ꀌ ","A00C","YI SYLLABLE UOX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40972
" ꀍ ","A00D","YI SYLLABLE UO","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40973
" ꀎ ","A00E","YI SYLLABLE UOP","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40974
" ꀏ ","A00F","YI SYLLABLE OT","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40975
" ꀐ ","A010","YI SYLLABLE OX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40976
" ꀑ ","A011","YI SYLLABLE O","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40977
" ꀒ ","A012","YI SYLLABLE OP","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40978
" ꀓ ","A013","YI SYLLABLE EX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40979
" ꀔ ","A014","YI SYLLABLE E","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40980
" ꀕ ","A015","YI SYLLABLE WU","Yi Script",NA,"Yes","Yi_Syllables","Modifier_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40981
" ꀖ ","A016","YI SYLLABLE BIT","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40982
" ꀗ ","A017","YI SYLLABLE BIX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40983
" ꀘ ","A018","YI SYLLABLE BI","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40984
" ꀙ ","A019","YI SYLLABLE BIP","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40985
" ꀚ ","A01A","YI SYLLABLE BIET","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40986
" ꀛ ","A01B","YI SYLLABLE BIEX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40987
" ꀜ ","A01C","YI SYLLABLE BIE","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40988
" ꀝ ","A01D","YI SYLLABLE BIEP","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40989
" ꀞ ","A01E","YI SYLLABLE BAT","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40990
" ꀟ ","A01F","YI SYLLABLE BAX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40991
" ꀠ ","A020","YI SYLLABLE BA","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40992
" ꀡ ","A021","YI SYLLABLE BAP","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40993
" ꀢ ","A022","YI SYLLABLE BUOX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40994
" ꀣ ","A023","YI SYLLABLE BUO","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40995
" ꀤ ","A024","YI SYLLABLE BUOP","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40996
" ꀥ ","A025","YI SYLLABLE BOT","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40997
" ꀦ ","A026","YI SYLLABLE BOX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40998
" ꀧ ","A027","YI SYLLABLE BO","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",40999
" ꀨ ","A028","YI SYLLABLE BOP","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41000
" ꀩ ","A029","YI SYLLABLE BEX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41001
" ꀪ ","A02A","YI SYLLABLE BE","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41002
" ꀫ ","A02B","YI SYLLABLE BEP","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41003
" ꀬ ","A02C","YI SYLLABLE BUT","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41004
" ꀭ ","A02D","YI SYLLABLE BUX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41005
" ꀮ ","A02E","YI SYLLABLE BU","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41006
" ꀯ ","A02F","YI SYLLABLE BUP","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41007
" ꀰ ","A030","YI SYLLABLE BURX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41008
" ꀱ ","A031","YI SYLLABLE BUR","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41009
" ꀲ ","A032","YI SYLLABLE BYT","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41010
" ꀳ ","A033","YI SYLLABLE BYX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41011
" ꀴ ","A034","YI SYLLABLE BY","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41012
" ꀵ ","A035","YI SYLLABLE BYP","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41013
" ꀶ ","A036","YI SYLLABLE BYRX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41014
" ꀷ ","A037","YI SYLLABLE BYR","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41015
" ꀸ ","A038","YI SYLLABLE PIT","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41016
" ꀹ ","A039","YI SYLLABLE PIX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41017
" ꀺ ","A03A","YI SYLLABLE PI","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41018
" ꀻ ","A03B","YI SYLLABLE PIP","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41019
" ꀼ ","A03C","YI SYLLABLE PIEX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41020
" ꀽ ","A03D","YI SYLLABLE PIE","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41021
" ꀾ ","A03E","YI SYLLABLE PIEP","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41022
" ꀿ ","A03F","YI SYLLABLE PAT","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41023
" ꁀ ","A040","YI SYLLABLE PAX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41024
" ꁁ ","A041","YI SYLLABLE PA","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41025
" ꁂ ","A042","YI SYLLABLE PAP","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41026
" ꁃ ","A043","YI SYLLABLE PUOX","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41027
" ꁄ ","A044","YI SYLLABLE PUO","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41028
" ꁅ ","A045","YI SYLLABLE PUOP","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41029
" ꁆ ","A046","YI SYLLABLE POT","Yi Script",NA,"Yes","Yi_Syllables","Other_Letter","Other","Yi",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","na","No","No","No","No","No","No","No",41030
