"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 豈 ","F900","CJK COMPATIBILITY IDEOGRAPH-F900","Han Script","Yes","Yes","CJK_Compatibility_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","No","No",63744
" 更 ","F901","CJK COMPATIBILITY IDEOGRAPH-F901","Han Script","Yes","Yes","CJK_Compatibility_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","No","No",63745
" 車 ","F902","CJK COMPATIBILITY IDEOGRAPH-F902","Han Script","Yes","Yes","CJK_Compatibility_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","No","No",63746
" 賈 ","F903","CJK COMPATIBILITY IDEOGRAPH-F903","Han Script","Yes","Yes","CJK_Compatibility_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","No","No",63747
" 滑 ","F904","CJK COMPATIBILITY IDEOGRAPH-F904","Han Script","Yes","Yes","CJK_Compatibility_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","No","No",63748
" 串 ","F905","CJK COMPATIBILITY IDEOGRAPH-F905","Han Script","Yes","Yes","CJK_Compatibility_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","No","No",63749
" 句 ","F906","CJK COMPATIBILITY IDEOGRAPH-F906","Han Script","Yes","Yes","CJK_Compatibility_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","No","No",63750
" 龜 ","F907","CJK COMPATIBILITY IDEOGRAPH-F907","Han Script","Yes","Yes","CJK_Compatibility_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","No","No",63751
" 龜 ","F908","CJK COMPATIBILITY IDEOGRAPH-F908","Han Script","Yes","Yes","CJK_Compatibility_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","No","No",63752
" 契 ","F909","CJK COMPATIBILITY IDEOGRAPH-F909","Han Script","Yes","Yes","CJK_Compatibility_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","No","No",63753
" 金 ","F90A","CJK COMPATIBILITY IDEOGRAPH-F90A","Han Script","Yes","Yes","CJK_Compatibility_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","No","No",63754
" 喇 ","F90B","CJK COMPATIBILITY IDEOGRAPH-F90B","Han Script","Yes","Yes","CJK_Compatibility_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","No","No",63755
" 奈 ","F90C","CJK COMPATIBILITY IDEOGRAPH-F90C","Han Script","Yes","Yes","CJK_Compatibility_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","No","No",63756
" 懶 ","F90D","CJK COMPATIBILITY IDEOGRAPH-F90D","Han Script","Yes","Yes","CJK_Compatibility_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","No","No",63757
" 癩 ","F90E","CJK COMPATIBILITY IDEOGRAPH-F90E","Han Script","Yes","Yes","CJK_Compatibility_Ideographs","Other_Letter","Other","Han","Han","No","No","Not_Reordered",NA,"No","No","No",NA,"No","Not_Applicable","Han","Yes","No","No","No","No","No","No",63758
